filenames,filepaths,clusters
er_file_2023_10_04_8_38_21.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_38_21.wav,0
er_file_2023_10_04_8_45_12.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_45_12.wav,0
er_file_2023_10_04_8_47_54.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_47_54.wav,0
er_file_2023_10_04_8_47_57.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_8_47_57.wav,0
er_file_2023_10_04_9_09_58.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/183/er_file_2023_10_04_9_09_58.wav,0
er_file_2023_10_03_17_42_05.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/179/er_file_2023_10_03_17_42_05.wav,0
er_file_2023_10_03_17_42_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/179/er_file_2023_10_03_17_42_07.wav,0
er_file_2023_10_04_7_53_48.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_7_53_48.wav,0
er_file_2023_10_04_7_53_51.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_7_53_51.wav,0
er_file_2023_10_04_7_55_27.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_7_55_27.wav,0
er_file_2023_10_04_7_58_49.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_7_58_49.wav,0
er_file_2023_10_04_8_00_46.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_8_00_46.wav,0
er_file_2023_10_04_8_00_48.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_8_00_48.wav,0
er_file_2023_10_04_8_01_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_8_01_07.wav,0
er_file_2023_10_04_8_01_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/182/er_file_2023_10_04_8_01_10.wav,0
er_file_2023_09_03_8_52_22.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/24/er_file_2023_09_03_8_52_22.wav,0
er_file_2023_09_03_8_55_03.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/24/er_file_2023_09_03_8_55_03.wav,0
er_file_2023_09_03_9_34_24.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/24/er_file_2023_09_03_9_34_24.wav,0
er_file_2023_09_03_9_34_27.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/24/er_file_2023_09_03_9_34_27.wav,0
er_file_2023_09_02_11_35_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/3/er_file_2023_09_02_11_35_10.wav,0
er_file_2023_09_03_10_24_02.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/25/er_file_2023_09_03_10_24_02.wav,0
er_file_2023_09_03_10_24_05.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/25/er_file_2023_09_03_10_24_05.wav,0
er_file_2023_09_03_10_24_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/25/er_file_2023_09_03_10_24_07.wav,0
er_file_2023_09_03_10_58_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/25/er_file_2023_09_03_10_58_10.wav,0
er_file_2023_09_03_10_58_13.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/25/er_file_2023_09_03_10_58_13.wav,0
